scarcity_score,salary_premium_pct,repost_rate_pct,demand_count,median_days_open,log_median_days_open
49.2,3.9,2.0,115,1.0,0.6931471805599453
62.9,42.5,14.0,63,1.0,0.6931471805599453
57.2,-38.7,16.2,54,9.0,2.302585092994046
31.0,-29.2,11.2,259,0.0,0.0
28.3,-46.9,19.5,221,0.0,0.0
25.0,-31.5,7.2,42,0.0,0.0
60.4,-10.9,18.0,66,1.0,0.6931471805599453
51.8,-29.2,17.4,65,1.0,0.6931471805599453
54.1,6.8,32.2,50,0.0,0.0
58.0,-31.5,16.1,76,5.0,1.791759469228055
37.0,2.7,6.8,154,0.0,0.0
32.2,-38.7,21.0,79,0.0,0.0
40.1,-57.5,0.0,17,68.0,4.23410650459726
64.9,27.2,3.3,49,5.0,1.791759469228055
36.8,-66.8,5.9,141,6.0,1.9459101490553132
38.2,-53.1,17.3,190,1.0,0.6931471805599453
67.9,-15.1,19.3,51,2.0,1.0986122886681098
69.9,41.5,1.6,12,9.0,2.302585092994046
54.8,-33.0,10.6,88,8.0,2.1972245773362196
50.6,-35.3,4.1,101,9.0,2.302585092994046
37.4,-34.1,29.8,23,0.0,0.0
20.9,-31.5,1.1,45,0.0,0.0
55.9,-29.2,21.3,103,1.0,0.6931471805599453
72.3,-25.6,13.5,68,12.0,2.5649493574615367
37.6,-17.3,11.3,861,0.0,0.0
34.8,-25.6,10.6,1424,0.0,0.0
47.6,-55.4,14.9,87,8.0,2.1972245773362196
14.2,-57.2,10.3,149,0.0,0.0
44.6,15.2,13.4,56,0.0,0.0
51.1,-29.2,9.4,52,2.0,1.0986122886681098
27.0,-42.6,16.9,506,0.0,0.0
36.9,-46.9,15.8,215,1.0,0.6931471805599453
35.7,-26.2,13.2,172,0.0,0.0
16.8,-46.9,7.8,28,0.0,0.0
54.4,-29.2,0.0,10,19.0,2.995732273553991
41.7,-31.1,27.5,24,0.0,0.0
26.5,-57.5,35.9,83,0.0,0.0
68.4,33.5,0.0,16,19.0,2.995732273553991
50.1,-34.1,14.6,94,2.0,1.0986122886681098
38.1,8.2,4.7,143,0.0,0.0
61.9,-36.3,19.6,101,8.0,2.1972245773362196
84.5,-3.2,19.3,72,61.0,4.127134385045092
38.5,-51.8,17.0,177,1.0,0.6931471805599453
25.9,-54.3,3.4,21,1.0,0.6931471805599453
50.8,-70.3,19.3,39,9.0,2.302585092994046
69.1,33.7,2.6,208,16.0,2.833213344056216
23.2,-28.2,21.8,234,0.0,0.0
71.8,-1.7,19.0,147,9.0,2.302585092994046
47.7,-20.9,0.0,16,50.0,3.9318256327243257
36.1,-0.5,18.5,363,0.0,0.0
38.4,-36.0,1.3,25,7.0,2.0794415416798357
25.7,-24.4,24.1,426,0.0,0.0
67.5,45.3,18.0,57,1.0,0.6931471805599453
28.6,-30.2,76.4,36,0.0,0.0
20.2,-15.1,2.6,15,0.0,0.0
40.8,10.5,19.9,93,0.0,0.0
33.3,-18.6,30.4,340,0.0,0.0
39.4,28.4,17.0,59,0.0,0.0
19.9,-18.6,8.2,87,0.0,0.0
44.8,19.1,21.9,389,0.0,0.0
65.1,-25.0,34.6,14,35.0,3.58351893845611
24.7,-15.7,15.7,194,0.0,0.0
32.5,3.7,12.2,31,0.0,0.0
66.9,109.3,15.4,42,1.0,0.6931471805599453
79.3,151.2,3.2,18,54.0,4.007333185232471
25.4,-24.4,23.5,304,0.0,0.0
19.3,-36.0,20.6,302,0.0,0.0
39.8,10.5,19.2,88,0.0,0.0
65.5,22.4,18.2,99,1.0,0.6931471805599453
24.9,-20.9,18.9,10,0.0,0.0
44.3,112.1,16.7,26,0.0,0.0
53.8,110.1,31.2,109,0.0,0.0
43.6,-2.3,51.0,23,0.0,0.0
47.7,-39.5,31.6,26,1.0,0.6931471805599453
43.1,-24.4,17.1,129,1.0,0.6931471805599453
33.2,151.2,0.0,10,0.0,0.0
40.0,88.8,14.0,53,0.0,0.0
28.5,10.5,2.6,228,0.0,0.0
69.9,43.6,1.8,68,38.0,3.6635616461296463
22.8,-10.2,6.0,625,0.0,0.0
33.6,-20.9,0.0,12,1.0,0.6931471805599453
56.9,10.5,10.3,71,1.0,0.6931471805599453
34.5,-3.5,19.8,28,0.0,0.0
32.9,-3.5,18.7,63,0.0,0.0
53.9,151.2,27.0,37,0.0,0.0
21.6,-36.0,27.5,743,0.0,0.0
60.8,93.6,0.0,53,2.0,1.0986122886681098
29.0,-20.1,20.1,990,0.0,0.0
58.3,2.3,3.0,33,2.0,1.0986122886681098
11.7,-21.8,1.7,37,0.0,0.0
30.6,-21.5,31.2,49,0.0,0.0
78.3,66.9,17.6,10,11.0,2.4849066497880004
11.0,-31.7,8.0,67,0.0,0.0
34.9,-18.6,35.6,67,0.0,0.0
28.2,-3.5,15.3,52,0.0,0.0
26.4,-15.7,17.6,444,0.0,0.0
34.0,-2.3,18.3,274,0.0,0.0
26.8,-22.7,22.7,1431,0.0,0.0
26.3,-4.1,12.1,574,0.0,0.0
25.4,-8.1,11.1,306,0.0,0.0
27.1,-15.7,17.9,314,0.0,0.0
56.6,2.3,2.1,26,2.0,1.0986122886681098
17.6,-36.0,19.6,50,0.0,0.0
41.6,51.4,5.3,26,0.0,0.0
27.4,-23.8,11.7,195,0.0,0.0
21.6,-38.1,15.6,131,0.0,0.0
58.6,-33.3,26.2,100,1.0,0.6931471805599453
39.6,-14.3,13.6,1025,0.0,0.0
27.9,-21.9,9.0,88,0.0,0.0
43.2,-14.3,16.6,899,0.0,0.0
22.2,-33.3,14.6,97,0.0,0.0
26.7,-35.7,21.9,85,0.0,0.0
40.1,-16.7,14.3,781,0.0,0.0
35.3,17.9,2.5,68,0.0,0.0
24.6,-28.6,13.0,301,0.0,0.0
21.8,-50.0,17.2,34,0.0,0.0
44.2,115.5,7.5,24,0.0,0.0
40.3,-2.6,13.2,470,0.0,0.0
24.6,-33.3,16.7,260,0.0,0.0
43.8,-49.4,10.2,28,1.0,0.6931471805599453
27.8,-23.8,11.8,56,0.0,0.0
39.3,-20.1,18.9,109,0.0,0.0
58.1,-20.1,0.9,105,2.0,1.0986122886681098
33.4,-18.1,9.3,151,0.0,0.0
33.1,-27.7,17.7,40,0.0,0.0
22.2,-24.1,4.3,23,0.0,0.0
54.2,-28.6,12.8,49,1.0,0.6931471805599453
25.8,-30.0,14.2,728,0.0,0.0
38.3,-19.2,15.6,341,0.0,0.0
49.2,36.4,14.6,64,0.0,0.0
36.6,30.6,2.3,115,0.0,0.0
14.1,-44.5,10.0,49,0.0,0.0
22.6,-28.6,10.7,51,0.0,0.0
61.2,-33.3,19.2,37,2.0,1.0986122886681098
41.6,-19.5,20.6,423,0.0,0.0
37.7,11.7,8.4,47,0.0,0.0
58.7,-63.3,16.7,32,9.0,2.302585092994046
49.0,-31.4,2.4,16,2.0,1.0986122886681098
57.3,110.7,26.0,10,0.0,0.0
73.1,31.7,2.9,11,2.0,1.0986122886681098
72.8,100.0,0.0,20,50.0,3.9318256327243257
67.0,-25.9,27.6,40,1.0,0.6931471805599453
25.5,9.9,0.0,16,0.0,0.0
24.7,-31.0,14.0,117,0.0,0.0
33.1,-18.4,10.4,176,0.0,0.0
34.6,11.2,3.5,25,0.0,0.0
33.3,-23.8,16.3,856,0.0,0.0
74.6,25.7,13.2,28,1.0,0.6931471805599453
53.4,18.8,46.1,10,0.0,0.0
69.7,54.3,3.3,279,23.0,3.1780538303479458
43.4,-5.1,12.4,664,0.0,0.0
68.8,-9.0,7.5,86,31.0,3.4657359027997265
63.9,54.3,1.1,53,16.0,2.833213344056216
41.9,-23.4,16.1,274,0.0,0.0
73.9,-36.9,19.6,39,46.0,3.8501476017100584
42.3,-38.6,11.6,1584,1.0,0.6931471805599453
30.7,-40.5,9.9,50,0.0,0.0
40.0,-40.8,17.5,676,1.0,0.6931471805599453
52.7,-40.7,11.1,36,6.0,1.9459101490553132
62.2,37.2,0.0,52,50.0,3.9318256327243257
25.6,-45.6,10.2,525,0.0,0.0
36.2,-40.1,8.3,517,1.0,0.6931471805599453
38.5,-41.6,16.5,739,1.0,0.6931471805599453
51.5,41.9,1.3,101,2.0,1.0986122886681098
63.7,8.5,1.8,70,46.0,3.8501476017100584
64.2,-5.2,0.5,197,61.0,4.127134385045092
71.2,56.0,0.3,117,54.0,4.007333185232471
45.2,31.1,5.0,97,1.0,0.6931471805599453
49.8,83.1,7.4,36,0.0,0.0
21.3,-41.3,5.6,55,0.0,0.0
41.6,-48.2,14.6,605,2.0,1.0986122886681098
63.5,7.1,3.6,223,24.0,3.2188758248682006
79.2,65.2,4.1,117,54.0,4.007333185232471
58.2,-20.2,6.8,117,9.0,2.302585092994046
36.0,-71.1,5.5,179,9.0,2.302585092994046
22.4,-42.9,6.7,62,0.0,0.0
37.1,-47.6,4.2,171,9.0,2.302585092994046
58.2,53.6,4.5,48,2.0,1.0986122886681098
42.5,-40.6,20.0,46,1.0,0.6931471805599453
62.2,-38.6,7.0,48,40.0,3.713572066704308
52.2,-40.1,10.7,638,3.0,1.3862943611198906
48.3,-20.2,14.1,678,1.0,0.6931471805599453
44.0,-45.7,5.3,267,15.0,2.772588722239781
45.2,24.0,0.2,318,2.0,1.0986122886681098
50.8,4.9,1.3,151,8.0,2.1972245773362196
40.9,85.4,0.0,10,1.0,0.6931471805599453
81.0,61.8,5.9,181,51.0,3.9512437185814275
44.3,-26.6,10.7,1698,1.0,0.6931471805599453
36.6,-40.8,10.8,1078,1.0,0.6931471805599453
45.1,-0.7,1.7,51,2.0,1.0986122886681098
65.2,10.9,8.6,294,8.0,2.1972245773362196
62.3,18.4,3.3,552,17.0,2.8903717578961645
42.7,-45.7,7.9,728,6.0,1.9459101490553132
28.1,-45.3,6.4,170,1.0,0.6931471805599453
57.9,35.6,6.1,1061,2.0,1.0986122886681098
33.4,-9.3,5.9,573,0.0,0.0
31.2,-46.8,10.9,84,1.0,0.6931471805599453
44.0,-48.3,3.8,224,40.0,3.713572066704308
27.7,-47.6,9.0,284,1.0,0.6931471805599453
25.1,-51.0,8.1,212,1.0,0.6931471805599453
32.9,24.7,1.9,24,0.0,0.0
54.9,-25.9,7.0,512,6.0,1.9459101490553132
31.6,-51.3,18.6,111,1.0,0.6931471805599453
55.4,-38.6,6.3,546,11.0,2.4849066497880004
44.5,-45.7,0.6,61,54.0,4.007333185232471
61.6,27.1,4.7,157,9.0,2.302585092994046
42.6,-32.6,9.4,1515,1.0,0.6931471805599453
80.2,85.4,13.3,26,9.0,2.302585092994046
63.5,41.1,1.8,454,16.0,2.833213344056216
31.9,-42.3,8.3,1345,1.0,0.6931471805599453
45.8,-39.6,4.5,132,6.0,1.9459101490553132
32.5,-40.8,15.2,311,0.0,0.0
60.5,7.2,1.9,280,23.0,3.1780538303479458
66.7,-40.1,9.9,290,54.0,4.007333185232471
49.2,-46.7,3.4,174,54.0,4.007333185232471
34.9,52.3,0.9,23,0.0,0.0
73.0,34.8,6.2,118,34.0,3.5553480614894135
57.9,-38.6,3.1,368,54.0,4.007333185232471
31.7,-43.8,21.9,268,0.0,0.0
33.6,-41.2,8.4,1154,1.0,0.6931471805599453
54.0,-12.2,6.2,1114,3.0,1.3862943611198906
56.6,46.4,4.0,81,2.0,1.0986122886681098
61.4,24.7,5.5,312,9.0,2.302585092994046
59.1,85.4,22.7,17,0.0,0.0
45.1,-36.3,12.3,312,1.0,0.6931471805599453
39.9,-40.1,11.3,1069,1.0,0.6931471805599453
27.9,-47.6,9.4,128,1.0,0.6931471805599453
62.9,63.2,5.5,189,26.0,3.295836866004329
23.4,-50.4,32.5,64,0.0,0.0
52.5,-18.5,47.1,12,36.0,3.6109179126442243
46.7,57.4,20.5,74,2.0,1.0986122886681098
55.4,57.4,0.0,11,75.0,4.330733340286331
58.5,68.1,18.4,23,1.0,0.6931471805599453
56.9,64.7,0.6,153,18.0,2.9444389791664403
59.1,61.6,0.0,20,75.0,4.330733340286331
36.4,-11.2,0.7,232,16.0,2.833213344056216
32.0,50.9,1.7,99,0.0,0.0
33.4,18.5,0.0,34,35.0,3.58351893845611
49.6,64.7,0.6,147,2.0,1.0986122886681098
38.9,11.2,0.0,12,42.0,3.7612001156935624
44.0,64.7,0.0,58,22.0,3.1354942159291497
76.3,81.8,6.7,168,26.0,3.295836866004329
54.3,63.2,9.2,577,3.0,1.3862943611198906
34.5,18.7,1.2,102,1.0,0.6931471805599453
33.9,6.6,20.6,320,0.0,0.0
21.7,6.6,1.1,97,0.0,0.0
44.1,32.4,27.2,143,0.0,0.0
22.3,-12.8,11.5,74,0.0,0.0
41.8,31.8,24.1,45,0.0,0.0
56.7,89.3,0.0,31,36.0,3.6109179126442243
65.0,46.5,6.8,23,8.0,2.1972245773362196
40.3,32.4,17.9,137,0.0,0.0
20.6,-26.8,13.6,234,0.0,0.0
27.1,89.3,0.0,18,0.0,0.0
79.0,152.0,2.6,80,54.0,4.007333185232471
16.9,-15.5,2.9,66,0.0,0.0
18.2,-37.7,12.6,57,0.0,0.0
53.9,106.2,16.2,83,0.0,0.0
33.0,-9.8,22.0,224,0.0,0.0
67.4,89.3,10.9,37,4.0,1.6094379124341003
62.5,50.1,0.0,42,58.0,4.07753744390572
38.5,-43.7,0.0,23,61.0,4.127134385045092
64.2,33.2,14.5,103,1.0,0.6931471805599453
28.3,-12.8,19.7,104,0.0,0.0
34.0,19.3,16.1,17,0.0,0.0
57.1,-5.2,0.9,167,2.0,1.0986122886681098
54.7,36.7,34.3,445,0.0,0.0
51.2,10.7,2.5,23,1.0,0.6931471805599453
29.0,-29.9,10.9,350,0.0,0.0
18.4,-9.9,0.0,10,0.0,0.0
23.9,-43.2,7.6,260,0.0,0.0
62.0,26.1,0.0,46,5.0,1.791759469228055
50.4,-12.4,15.6,97,1.0,0.6931471805599453
28.7,-43.9,18.0,86,0.0,0.0
69.9,11.3,9.1,228,2.0,1.0986122886681098
54.2,-2.6,11.4,90,1.0,0.6931471805599453
36.6,-16.0,26.3,51,0.0,0.0
67.2,-4.4,3.9,231,8.0,2.1972245773362196
23.6,-43.2,7.5,130,0.0,0.0
63.0,-16.0,19.0,55,2.0,1.0986122886681098
42.6,40.4,2.1,14,0.0,0.0
45.0,38.4,6.0,52,0.0,0.0
71.7,40.4,3.4,132,2.0,1.0986122886681098
49.7,-12.4,0.0,43,12.0,2.5649493574615367
41.3,-29.9,6.7,94,1.0,0.6931471805599453
40.5,-47.4,21.6,52,1.0,0.6931471805599453
50.7,-12.4,17.7,90,1.0,0.6931471805599453
52.1,5.6,0.0,55,2.0,1.0986122886681098
30.7,-12.4,9.1,1265,0.0,0.0
