snapshot_date,skill_name,demand_count,demand_pct,median_days_open,salary_premium_pct,repost_rate_pct,scarcity_score,year,day,month
2026-07-12,A/B Testing,115,4.7,1.0,3.9,2.0,49.2,2026,12,July
2026-07-12,Agile / Scrum,63,2.6,1.0,42.5,14.0,62.9,2026,12,July
2026-07-12,AI Agents,153,6.3,,45.5,5.9,72.0,2026,12,July
2026-07-12,AI Coding Tools,32,1.3,,,0.0,0.0,2026,12,July
2026-07-12,Airflow,54,2.2,9.0,-38.7,16.2,57.2,2026,12,July
2026-07-12,AWS,259,10.6,0.0,-29.2,11.2,31.0,2026,12,July
2026-07-12,Azure,221,9.0,0.0,-46.9,19.5,28.3,2026,12,July
2026-07-12,BigQuery,43,1.8,4.0,,22.2,75.5,2026,12,July
2026-07-12,C#,42,1.7,0.0,-31.5,7.2,25.0,2026,12,July
2026-07-12,C++,66,2.7,1.0,-10.9,18.0,60.4,2026,12,July
2026-07-12,CI/CD,65,2.7,1.0,-29.2,17.4,51.8,2026,12,July
2026-07-12,Data Modeling,50,2.0,0.0,6.8,32.2,54.1,2026,12,July
2026-07-12,Databricks,76,3.1,5.0,-31.5,16.1,58.0,2026,12,July
2026-07-12,Datadog,31,1.3,82.0,,0.0,61.5,2026,12,July
2026-07-12,Deep Learning,154,6.3,0.0,2.7,6.8,37.0,2026,12,July
2026-07-12,Docker,79,3.2,0.0,-38.7,21.0,32.2,2026,12,July
2026-07-12,ETL,17,0.7,68.0,-57.5,0.0,40.1,2026,12,July
2026-07-12,Excel,49,2.0,5.0,27.2,3.3,64.9,2026,12,July
2026-07-12,Fine-tuning,141,5.8,6.0,-66.8,5.9,36.8,2026,12,July
2026-07-12,GCP,190,7.8,1.0,-53.1,17.3,38.2,2026,12,July
2026-07-12,Git,51,2.1,2.0,-15.1,19.3,67.9,2026,12,July
2026-07-12,Grafana,12,0.5,9.0,41.5,1.6,69.9,2026,12,July
2026-07-12,Hugging Face,88,3.6,8.0,-33.0,10.6,54.8,2026,12,July
2026-07-12,Incident Response,17,0.7,,,0.0,0.0,2026,12,July
2026-07-12,Java,101,4.1,9.0,-35.3,4.1,50.6,2026,12,July
2026-07-12,JavaScript,23,0.9,0.0,-34.1,29.8,37.4,2026,12,July
2026-07-12,Kafka,45,1.8,0.0,-31.5,1.1,20.9,2026,12,July
